,title,price,type,link,brand
0,blue gaming chair,10,Accessory,https://charlottesville.craigslist.org/vgm/d/troy-blue-gaming-chair/7880710900.html,missing
1,nintendo switch games,10,Software,https://charlottesville.craigslist.org/vgm/d/waynesboro-nintendo-switch-games/7898331970.html,Nintendo
2,"ps5 games, controllers & more",10,Software,https://charlottesville.craigslist.org/vgm/d/staunton-ps5-games-controllers-more/7877979713.html,Playstation
3,really cheap ps3 games (playstation 3),1,Software,https://charlottesville.craigslist.org/vgm/d/staunton-really-cheap-ps3-games/7879780011.html,Playstation
4,x box 360 games,5,Software,https://charlottesville.craigslist.org/vgm/d/troy-box-360-games/7902030356.html,Xbox
5,ps vita games,10,Software,https://charlottesville.craigslist.org/vgm/d/charlottesville-ps-vita-games/7878213171.html,Playstation
6,playstation 2 games,10,Software,https://charlottesville.craigslist.org/vgm/d/troy-playstation-games/7905386360.html,Playstation
7,lots of cheap playstation 4 games (some sealed!) all work on ps4/ps5!,5,Software,https://charlottesville.craigslist.org/vgm/d/staunton-lots-of-cheap-playstation/7878213466.html,Playstation
8,► red dead redemption new sealed playstation 4 game,15,Software,https://charlottesville.craigslist.org/vgm/d/charlottesville-red-dead-redemption-new/7899412374.html,Playstation
9,"ps5 games, controllers, and more",10,Software,https://charlottesville.craigslist.org/vgm/d/staunton-ps5-games-controllers-and-more/7875101578.html,Playstation
10,cod modern warfare 2 ps3 game call of duty modern warfare 2,5,Software,https://charlottesville.craigslist.org/vgm/d/staunton-cod-modern-warfare-ps3-game/7911859204.html,Playstation
11,nintendo switch games new games added!,10,Software,https://charlottesville.craigslist.org/vgm/d/waynesboro-nintendo-switch-games-new/7911065102.html,Nintendo
12,switch new starlink: battle for atlas starter pack,15,Bundle,https://charlottesville.craigslist.org/vgm/d/charlottesville-switch-new-starlink/7893399672.html,Nintendo
13,thrustmaster ferrari sterring wheel & pedals,65,Accessory,https://charlottesville.craigslist.org/vgm/d/north-garden-thrustmaster-ferrari/7902294636.html,missing
14,*cib* nintendo 64 atomic purple bundle edition,350,Bundle,https://charlottesville.craigslist.org/vgm/d/afton-cib-nintendo-64-atomic-purple/7906555510.html,Nintendo
15,ps5 (1tb) w/cool charging dock with 2 controllers,320,Console,https://charlottesville.craigslist.org/vgm/d/charlottesville-ps5-1tb-cool-charging/7910861930.html,Playstation
16,xbox series x  (1tb) one controller immaculate,330,Console,https://charlottesville.craigslist.org/vgm/d/charlottesville-xbox-series-1tb-one/7910862697.html,Xbox
17,"nintendo wii console with box,16 games, lots of controllers and more",100,Console,https://charlottesville.craigslist.org/vgm/d/charlottesville-nintendo-wii-console/7907928190.html,Nintendo
18,xbox one s,130,Console,https://charlottesville.craigslist.org/vgm/d/locust-dale-xbox-one/7906005845.html,Xbox
19,ps5 slim,370,Console,https://charlottesville.craigslist.org/vgm/d/locust-dale-ps5-slim/7906005301.html,Playstation
20,"ps5 digital edition, no controller",275,other,https://charlottesville.craigslist.org/vgm/d/palmyra-ps5-digital-edition-no/7904954296.html,Playstation
21,play  station 2,5,other,https://charlottesville.craigslist.org/vgm/d/troy-play-station/7904794259.html,Playstation
